2025-08-10 15:53:36 | DEBUG    | asyncio         | Using proactor: IocpProactor
2025-08-10 16:00:18 | INFO     | IpruAI          | 📧 Processing email request
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Subject: soa
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Body length: 18 chars
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Log file: logs/ipruai_2025-08-10.log
2025-08-10 16:00:18 | INFO     | IpruAI          | 😅 Parsing completed - Confidence: 54.71% | Method: rule_based
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Categories: ['PMS'] | Types: ['Portfolio_Appraisal']
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Identifiers found: PAN=1, DI=0, Accounts=0, Folios=0
2025-08-10 16:00:18 | DEBUG    | IpruAI          | Date range: 1990-01-01 to 2025-08-09 (default)
2025-08-10 16:00:26 | INFO     | IpruAI          | 📧 Processing email request
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Subject: soa
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Body length: 18 chars
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Log file: logs/ipruai_2025-08-10.log
2025-08-10 16:00:26 | INFO     | IpruAI          | 😅 Parsing completed - Confidence: 54.71% | Method: rule_based
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Categories: ['PMS'] | Types: ['Portfolio_Appraisal']
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Identifiers found: PAN=1, DI=0, Accounts=0, Folios=0
2025-08-10 16:00:26 | DEBUG    | IpruAI          | Date range: 1990-01-01 to 2025-08-09 (default)
2025-08-10 16:00:27 | INFO     | IpruAI          | 📧 Processing email request
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Subject: soa
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Body length: 18 chars
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Log file: logs/ipruai_2025-08-10.log
2025-08-10 16:00:27 | INFO     | IpruAI          | 😅 Parsing completed - Confidence: 54.71% | Method: rule_based
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Categories: ['PMS'] | Types: ['Portfolio_Appraisal']
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Identifiers found: PAN=1, DI=0, Accounts=0, Folios=0
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Date range: 1990-01-01 to 2025-08-09 (default)
2025-08-10 16:00:27 | INFO     | IpruAI          | 📧 Processing email request
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Subject: soa
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Body length: 18 chars
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Log file: logs/ipruai_2025-08-10.log
2025-08-10 16:00:27 | INFO     | IpruAI          | 😅 Parsing completed - Confidence: 54.71% | Method: rule_based
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Categories: ['PMS'] | Types: ['Portfolio_Appraisal']
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Identifiers found: PAN=1, DI=0, Accounts=0, Folios=0
2025-08-10 16:00:27 | DEBUG    | IpruAI          | Date range: 1990-01-01 to 2025-08-09 (default)
2025-08-10 16:00:29 | INFO     | IpruAI          | 📧 Processing email request
